Algorithm,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
bfs_multi,0.0007812079496943624,0.9963499949809842,3800,121632
bfs_multi,0.001060892330497154,0.9970182667239893,3850,123232
bfs_multi,0.0008774556656862842,0.9971139348131443,3900,124832
bfs_multi,0.0008133206926731873,0.9969153678191065,3950,126432
bfs_multi,0.000871001390123638,0.9955382008428877,4000,128032
bfs_multi,0.0009247221475925471,0.9967714913753871,4050,129632
bfs_multi,0.0008962499209400221,0.9964337756627808,4100,131232
bfs_multi,0.0008117895533450792,0.9968510490956295,4150,132832
bfs_multi,0.0008460998810986098,0.9965259722070541,4200,134432
bfs_multi,0.0008316092368687578,0.9960420368135616,4250,136032
bfs_multi,0.000757748884261673,0.9965081058198242,4300,137632
bfs_multi,0.0008260805645568326,0.9957215707423781,4350,139232
bfs_multi,0.0007789530079935502,0.9960945894561435,4400,140832
bfs_multi,0.0010011209864387639,0.9954629414507183,4450,142432
bfs_multi,0.0007549184991546554,0.9956182032607295,4500,144032
bfs_multi,0.0008383538626731025,0.9967452252742008,4550,145632
bfs_multi,0.0009631932148386113,0.9969556551305928,4600,147232
bfs_multi,0.000758360508818896,0.9958157359758677,4650,148832
bfs_multi,0.000855966574829381,0.9958819210220137,4700,150432
bfs_multi,0.0006925217917421378,0.9963130359617705,4750,152032
bfs_multi,0.0007291861814883305,0.9961513038954523,4800,153632
bfs_multi,0.0007237406826629922,0.9953611665752533,4850,155232
bfs_multi,0.0008665994681189204,0.9968002036398899,4900,156832
bfs_multi,0.000700552424833063,0.9965261576523294,4950,158432
bfs_multi,0.0007975766732351985,0.9969007864666882,5000,160032
bfs_multi,0.0008455919855032334,0.9957357032173877,5050,161632
bfs_multi,0.0007466067123959874,0.9959735611780279,5100,163232
bfs_multi,0.000849963370291853,0.9960001312862476,5150,164832
bfs_multi,0.0007453028500459879,0.9959558161436264,5200,166432
bfs_multi,0.0008780372147543857,0.9967332429353501,5250,168032
bfs_multi,0.0008773818995970828,0.996512478227988,5300,169632
bfs_multi,0.0008502194390127115,0.9953530227029237,5350,171232
bfs_multi,0.0009302801057583565,0.9961508547329673,5400,172832
bfs_multi,0.0007773096381060896,0.9951677041540219,5450,174432
bfs_multi,0.0008397233280140881,0.9966246933219589,5500,176032
bfs_multi,0.0007490207866666764,0.9968058780379836,5550,177632
bfs_multi,0.0007118665206430564,0.9953318410412357,5600,179232
bfs_multi,0.0008466064128720063,0.9962084905060946,5650,180832
bfs_multi,0.0008645352934352956,0.9955161885977661,5700,182432
bfs_multi,0.0008297179108626552,0.9966535277172321,5750,184032
bfs_multi,0.0008997073201317108,0.996737557030687,5800,185632
bfs_multi,0.0007966385285607203,0.9963576569191875,5850,187232
bfs_multi,0.0008932267020759355,0.9961011574371088,5900,188832
bfs_multi,0.0009750873810284588,0.9958977001684239,5950,190432
bfs_multi,0.0007264260193551308,0.9956867422852482,6000,192032
bfs_multi,0.000738600940496461,0.9957040718993155,6050,193632
bfs_multi,0.0007247606362702186,0.9961824383668964,6100,195232
bfs_multi,0.0008491204172819522,0.9962276515195927,6150,196832
bfs_multi,0.0007226493002761813,0.9952906367686168,6200,198432
bfs_multi,0.0007084710777684222,0.9965926349154457,6250,200032
bfs_multi,0.0007301601829726678,0.9959132488626474,6300,201632
bfs_multi,0.0007628394935616711,0.9959610303431302,6350,203232
bfs_multi,0.0007731800772205588,0.9952536931333851,6400,204832
bfs_multi,0.0006691107783990447,0.9967552236886082,6450,206432
bfs_multi,0.0007112913468404258,0.9956797654562717,6500,208032
bfs_multi,0.0007796645128247092,0.9967146436298564,6550,209632
bfs_multi,0.000655393224619587,0.9970412093891988,6600,211232
bfs_multi,0.0007295627510541181,0.9964395762666529,6650,212832
bfs_multi,0.0006511155673899794,0.9960385554906386,6700,214432
bfs_multi,0.0007101010684147013,0.9961198054875636,6750,216032
bfs_multi,0.0006873043018867975,0.9963688718056994,6800,217632
bfs_multi,0.0006375215658732714,0.996229120992509,6850,219232
bfs_multi,0.0007349394944139931,0.9967504812273165,6900,220832
bfs_multi,0.0007438769803934519,0.9960226560850977,6950,222432
bfs_multi,0.0006779780631859467,0.9962825477740219,7000,224032
bfs_multi,0.0007971342753444332,0.9968433175251938,7050,225632
bfs_multi,0.001075530347879976,0.9957353573017464,7100,227232
bfs_multi,0.0007073841518740664,0.9958532237212823,7150,228832
bfs_multi,0.0006438516579828501,0.9955249935335287,7200,230432
bfs_multi,0.0007282975954694848,0.9963379773546492,7250,232032
bfs_multi,0.0009263639507253174,0.9961031810952716,7300,233632
bfs_multi,0.0009552763434021471,0.9966048753630756,7350,235232
bfs_multi,0.0007529160202932417,0.9958896245425355,7400,236832
bfs_multi,0.0008290972367831273,0.9955792609800629,7450,238432
bfs_multi,0.0008053823911927793,0.9962183325820186,7500,240032
bfs_multi,0.0007383581910050907,0.9958388041302788,7550,241632
bfs_multi,0.0008217057962428953,0.9968808987137479,7600,243232
bfs_multi,0.0008337840872778201,0.995188072970346,7650,244832
bfs_multi,0.0006654273397637667,0.9948006400142296,7700,246432
bfs_multi,0.0006425272327487619,0.9966149307322527,7750,248032
bfs_multi,0.0007008696003393311,0.9968425426979257,7800,249632
bfs_multi,0.0007013231227345074,0.996512354395144,7850,251232
bfs_multi,0.0007677071735690788,0.9964843432292659,7900,252832
