Algorithm,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
dfs_multi,0.012610713075846434,0.9751401410809306,5450,174432
dfs_multi,0.011767277410253883,0.9726941926758104,5500,176032
dfs_multi,0.012529617939144373,0.9711241485212144,5550,177632
dfs_multi,0.017967075314372777,0.971291642181604,5600,179232
dfs_multi,0.015306069310754537,0.9724224080817957,5650,180832
dfs_multi,0.013888314757496118,0.9730945781838106,5700,182432
dfs_multi,0.013017383860424161,0.9712799791450905,5750,184032
dfs_multi,0.015042450628243387,0.9712557676971825,5800,185632
dfs_multi,0.014001781642436982,0.9738353020437955,5850,187232
dfs_multi,0.01331719946116209,0.972716281313514,5900,188832
dfs_multi,0.013121257293969393,0.9723140198215416,5950,190432
dfs_multi,0.017197087593376636,0.9684854667994387,6000,192032
dfs_multi,0.018885835856199264,0.9710072842261195,6050,193632
dfs_multi,0.015823477311059833,0.9722592731185018,6100,195232
dfs_multi,0.01646905729547143,0.9723719210325907,6150,196832
dfs_multi,0.015718096597120167,0.9703042843595666,6200,198432
dfs_multi,0.014424336841329932,0.9710579374820932,6250,200032
dfs_multi,0.0157753836363554,0.9720862878043324,6300,201632
dfs_multi,0.013971337135881185,0.9729220187887102,6350,203232
dfs_multi,0.013472356274724007,0.972438459285752,6400,204832
dfs_multi,0.01310913017950952,0.9711640122397844,6450,206432
dfs_multi,0.017055667880922557,0.9737777522940738,6500,208032
dfs_multi,0.014805614799261093,0.9714333543893607,6550,209632
dfs_multi,0.015427262466400861,0.9730595856898275,6600,211232
dfs_multi,0.01720922891050577,0.97199112783903,6650,212832
dfs_multi,0.01817426713183522,0.9704690522988314,6700,214432
dfs_multi,0.01915113540366292,0.9694236055827548,6750,216032
dfs_multi,0.015824048332870006,0.9726789653618617,6800,217632
dfs_multi,0.015116631416603923,0.9724258314758374,6850,219232
dfs_multi,0.018066018614917995,0.9707614808233503,6900,220832
dfs_multi,0.01716464966535568,0.9735214076091936,6950,222432
dfs_multi,0.015328843267634512,0.9709784458296127,7000,224032
dfs_multi,0.01575861919671297,0.9714897416757203,7050,225632
dfs_multi,0.014807620588690042,0.9714337947013628,7100,227232
dfs_multi,0.014601109279319645,0.9725522221265407,7150,228832
dfs_multi,0.013168452121317387,0.9708776981760984,7200,230432
dfs_multi,0.013859847746789455,0.9713302195445699,7250,232032
dfs_multi,0.013077185042202472,0.9716672661008718,7300,233632
dfs_multi,0.012554987771436573,0.9733796388311311,7350,235232
dfs_multi,0.0135859246365726,0.9724369460836109,7400,236832
dfs_multi,0.013309365399181842,0.9734049491288537,7450,238432
dfs_multi,0.01364043694920838,0.9707042460403403,7500,240032
dfs_multi,0.01366200621239841,0.9734643264394759,7550,241632
dfs_multi,0.013734304970130324,0.9725848046969631,7600,243232
dfs_multi,0.021009366568177937,0.9688619689128697,7650,244832
dfs_multi,0.019676948245614768,0.9719827238923886,7700,246432
dfs_multi,0.01805284447968006,0.9708046628275545,7750,248032
dfs_multi,0.026102619785815476,0.9628857748732125,7800,249632
dfs_multi,0.027113237790763377,0.9656549836446608,7850,251232
dfs_multi,0.019884603805840017,0.9714282739483733,7900,252832
dfs_multi,0.0188753273524344,0.9719820763277086,7950,254432
dfs_multi,0.01757480401545763,0.9714122564781438,8000,256032
dfs_multi,0.016470393473282455,0.9735022870300636,8050,257632
dfs_multi,0.016367773134261368,0.9708383029340495,8100,259232
dfs_multi,0.015888077802956105,0.9706042233971097,8150,260832
dfs_multi,0.01618589360266924,0.9714261828051232,8200,262432
dfs_multi,0.015297939516603947,0.9708233315564749,8250,264032
dfs_multi,0.01454591702669859,0.9699151785450841,8300,265632
dfs_multi,0.013814176479354501,0.9713974781340822,8350,267232
dfs_multi,0.016377324275672435,0.972649823693047,8400,268832
dfs_multi,0.013800096865743398,0.9728441274247445,8450,270432
dfs_multi,0.014345523081719875,0.9710065886262688,8500,272032
dfs_multi,0.015224310215562581,0.9701583009809066,8550,273632
dfs_multi,0.018386974912136794,0.9711656521687507,8600,275232
dfs_multi,0.014796804804354906,0.9715950852926545,8650,276832
dfs_multi,0.014947447450831533,0.972724289397497,8700,278432
dfs_multi,0.015755686750635503,0.9707814861328639,8750,280032
dfs_multi,0.014548743553459644,0.9734291420269033,8800,281632
dfs_multi,0.015124090695753694,0.9724584438272608,8850,283232
dfs_multi,0.01362685033120215,0.9713545303340614,8900,284832
dfs_multi,0.01380041935481131,0.9713567101381543,8950,286432
dfs_multi,0.014485528785735368,0.9713076413575779,9000,288032
dfs_multi,0.013600257383659482,0.9718954580370172,9050,289632
dfs_multi,0.013133078627288342,0.9728364090715157,9100,291232
dfs_multi,0.015842614779248834,0.9724484599617038,9150,292832
dfs_multi,0.015975315198302267,0.9710914181295429,9200,294432
dfs_multi,0.014909509541466833,0.9707509804010472,9250,296032
dfs_multi,0.01466755498200655,0.9716138420941234,9300,297632
dfs_multi,0.014567805901169777,0.971949370648636,9350,299232
dfs_multi,0.013239661399275064,0.9735787359383332,9400,300832
dfs_multi,0.01303865433204919,0.9716528025902488,9450,302432
dfs_multi,0.012845226237550378,0.9723894456880459,9500,304032
dfs_multi,0.013499673008918762,0.9731051272806672,9550,305632
dfs_multi,0.013217652291059494,0.9719732356299277,9600,307232
dfs_multi,0.014399429112672805,0.9710399834601681,9650,308832
dfs_multi,0.015177901890128851,0.9719842993691028,9700,310432
dfs_multi,0.012869062698446215,0.9724973506951392,9750,312032
dfs_multi,0.014084996227174996,0.970864934134479,9800,313632
dfs_multi,0.014063459653407336,0.9725740282414609,9850,315232
dfs_multi,0.016101233810186386,0.9734188079853342,9900,316832
dfs_multi,0.01704276359640062,0.9708665178360121,9950,318432
