0,1,2,3
Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
0.0008493595,0.9960858021987062,4250,136032
0.0008382657,0.9965649648713835,4300,137632
0.00095823803,0.9956452058735724,4350,139232
0.0008552822,0.9960952092703551,4400,140832
0.00089838536,0.9955029579794397,4450,142432
0.0007501962,0.9955297333838462,4500,144032
0.000764872,0.9966739122271342,4550,145632
0.0007479643,0.9968935982947691,4600,147232
0.0008222572,0.9957877236147732,4650,148832
0.0009692662,0.9958905873556794,4700,150432
0.0007355239,0.9962800958043262,4750,152032
0.00082846894,0.9962057971078224,4800,153632
0.0007762039,0.9952575385516432,4850,155232
0.0008202961,0.9967824041142199,4900,156832
0.0007619422,0.9964787817632648,4950,158432
0.0008404304,0.9969007902701139,5000,160032
0.00079920434,0.9958289883620677,5050,161632
0.0007119941,0.9959707968077509,5100,163232
0.0009242735,0.9959827237525786,5150,164832
0.00071567,0.9959403902891096,5200,166432
0.00091481657,0.9968031798486963,5250,168032
0.0007040035,0.9964815180445248,5300,169632
0.0013150255,0.9952508125931208,5350,171232
0.0011538218,0.9961331003485159,5400,172832
0.000977278,0.9951095328328792,5450,174432
0.0008930257,0.9967022220230954,5500,176032
0.00085414655,0.9967800987408568,5550,177632
0.00093364174,0.9948855663001797,5600,179232
0.00089259667,0.9962662238567858,5650,180832
0.00072148984,0.9954126720697147,5700,182432
0.0007630079,0.9965943653380913,5750,184032
0.000810869,0.9966271188105715,5800,185632
0.0009193638,0.9963386129946957,5850,187232
0.0007476645,0.9961652117252895,5900,188832
0.0007637955,0.9957143396268943,5950,190432
0.00072259357,0.9957768888226669,6000,192032
0.00080594735,0.9956473697777348,6050,193632
0.0007115187,0.996184142265433,6100,195232
0.000742358,0.9962199239928315,6150,196832
0.00069321477,0.9953988592591956,6200,198432
0.0007465505,0.9965094646138315,6250,200032
0.0008183246,0.9958646470074086,6300,201632
0.00074285426,0.995965648017162,6350,203232
0.00076132565,0.9951942233969702,6400,204832
0.0007501162,0.996708631514702,6450,206432
0.00080799835,0.9955950975044052,6500,208032
0.00084729976,0.9967313573945665,6550,209632
0.00073232804,0.9970442587605668,6600,211232
0.0009151123,0.9963772909808863,6650,212832
0.0008467744,0.9960126402992517,6700,214432
0.00081184594,0.9960680072347503,6750,216032
0.00092482736,0.9963642562878342,6800,217632
0.0007840868,0.9962902605394715,6850,219232
0.0007402966,0.9968491594154467,6900,220832
0.0014803435,0.99557822259065,6950,222432
0.00087659457,0.996299727176589,7000,224032
0.0011344017,0.9967078909182193,7050,225632
0.0009690779,0.995798680168403,7100,227232
0.00091434084,0.9958097508084673,7150,228832
0.0006892463,0.9954093191000613,7200,230432
0.0008926878,0.9962991318336554,7250,232032
0.00078535604,0.9961219646150212,7300,233632
0.00086428394,0.9966358396664909,7350,235232
0.0007799505,0.9957982657818385,7400,236832
0.00089518994,0.9956668974958759,7450,238432
0.0008600814,0.9962938558854237,7500,240032
0.0008194829,0.9957425767630518,7550,241632
0.00079853815,0.9968220180972543,7600,243232
0.0007438372,0.9950775091349926,7650,244832
0.0006888277,0.9946781247107441,7700,246432
0.00071600097,0.9966139236751811,7750,248032
0.0007878233,0.9967585672972032,7800,249632
